,Frame No,Car Details
0,1,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.9858122000000007}"
1,2,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.016864399999999335}"
2,3,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.01720089999999974}"
3,4,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.01580690000000029}"
4,5,"{'count': 1, 'Hatchback': 1, 'red': 1, 'time': 0.0166252999999994}"
5,6,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.017000499999999974}"
6,7,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.014878500000000017}"
7,8,"{'count': 1, 'Hatchback': 1, 'black': 1, 'time': 0.0166542999999999}"
8,9,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.014948699999999704}"
9,10,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.01625000000000032}"
10,11,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.01571750000000005}"
11,12,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.015347000000000222}"
12,13,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.016700400000000393}"
13,14,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.01714940000000098}"
14,15,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.01678229999999914}"
15,16,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.016765200000000036}"
16,17,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.016572800000000498}"
17,18,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.01617839999999937}"
18,19,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.01802759999999992}"
19,20,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.01566180000000017}"
20,21,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.015859899999998817}"
21,22,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.016076299999999932}"
22,54,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.016615899999999684}"
23,55,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.016413700000001086}"
24,56,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.01669189999999965}"
25,57,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.015444600000000364}"
26,58,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.017152499999999904}"
27,59,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.016093599999999597}"
28,60,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.016195300000001467}"
